Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,17,Sun 13/11/22,1:30 PM,Club Brugge,(4.),Royal Antwerp,(2.),25.351,2:2,Partly cloudy,9.4
Croky Cup,Round of 16,Wed 21/12/22,8:00 PM,Club Brugge,,Sint-Truiden,,13.000,1:4,Partly cloudy,8.9
Jupiler Pro League,18,Mon 26/12/22,1:30 PM,Club Brugge,(4.),OH Leuven,(8.),17.969,1:1,Clear or mostly clear,7.1
Jupiler Pro League,19,Sun 08/01/23,1:30 PM,Genk,(1.),Club Brugge,(4.),22.004,3:1,Partly cloudy,8.3
Jupiler Pro League,20,Sun 15/01/23,1:30 PM,Club Brugge,(4.),RSC Anderlecht,(11.),29.062,1:1,Clear or mostly clear,6.2
Jupiler Pro League,21,Thu 19/01/23,8:45 PM,Sint-Truiden,(8.),Club Brugge,(4.),5.000,1:1,Partly cloudy,-0.7
Jupiler Pro League,22,Sun 22/01/23,6:30 PM,Club Brugge,(4.),R Charleroi SC,(11.),16.724,2:2,Partly cloudy,2.4
Jupiler Pro League,23,Sun 29/01/23,6:30 PM,Zulte Waregem,(16.),Club Brugge,(5.),9.947,1:2,Partly cloudy,5.4
Jupiler Pro League,24,Sun 05/02/23,1:30 PM,Royal Antwerp,(3.),Club Brugge,(4.),15.000,0:0,Drizzle,8.1
Jupiler Pro League,25,Fri 10/02/23,8:45 PM,Club Brugge,(4.),Union SG,(2.),20.491,1:1,Partly cloudy,5.6
UEFA Champions League,last 16 1st leg,Wed 15/02/23,9:00 PM,Club Brugge,,Benfica,,25.643,0:2,Clear or mostly clear,6.5
Jupiler Pro League,26,Sun 19/02/23,1:30 PM,Cercle Brugge,(8.),Club Brugge,(4.),12.488,2:2,Partly cloudy,9.7
Jupiler Pro League,27,Sun 26/02/23,1:30 PM,Club Brugge,(4.),KAA Gent,(5.),22.000,2:0,Clear or mostly clear,4.1
Jupiler Pro League,28,Fri 03/03/23,8:45 PM,KV Oostende,(17.),Club Brugge,(4.),5.842,3:0,None,None
UEFA Champions League,last 16 2nd leg,Tue 07/03/23,9:00 PM,Benfica,,Club Brugge,,61.018,5:1,None,None
Jupiler Pro League,29,Sun 12/03/23,1:30 PM,Club Brugge,(4.),Standard Liège,(6.),21.485,2:0,Drizzle,10.5
Jupiler Pro League,30,Sat 18/03/23,4:00 PM,KV Kortrijk,(14.),Club Brugge,(4.),8.973,1:0,None,None
Jupiler Pro League,31,Sun 02/04/23,6:30 PM,KV Mechelen,(13.),Club Brugge,(5.),14.125,0:3,Partly cloudy,8.2
Jupiler Pro League,32,Fri 07/04/23,8:45 PM,Club Brugge,(5.),RFC Seraing,(18.),17.690,2:0,Clear or mostly clear,7.9
Jupiler Pro League,33,Sat 15/04/23,8:45 PM,KVC Westerlo,(7.),Club Brugge,(5.),8.000,0:0,Partly cloudy,10.2
Jupiler Pro League,34,Sun 23/04/23,6:30 PM,Club Brugge,(5.),KAS Eupen,(15.),27.000,7:0,Rainy,11.6
Jupiler Pro League Champions' Play-Offs,1,Sun 30/04/23,6:30 PM,Genk,(2.),Club Brugge,(4.),20.830,3:1,Partly cloudy,16.6
Jupiler Pro League Champions' Play-Offs,2,Sat 06/05/23,6:15 PM,Club Brugge,(4.),Union SG,(3.),19.224,1:2,Partly cloudy,16.1
Jupiler Pro League Champions' Play-Offs,3,Sun 14/05/23,1:30 PM,Royal Antwerp,(1.),Club Brugge,(4.),15.000,3:2,Clear or mostly clear,19.3
Jupiler Pro League Champions' Play-Offs,4,Sun 21/05/23,1:30 PM,Club Brugge,(4.),Royal Antwerp,(1.),20.772,2:0,Partly cloudy,16.5
Jupiler Pro League Champions' Play-Offs,5,Sun 28/05/23,6:30 PM,Club Brugge,(4.),Genk,(3.),18.807,1:3,Clear or mostly clear,17.2
