Competition,Matchday,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Weather,Temperature (°C),Date,Weekday,Month,Year,Season,quarter,Stadium,Max Capacity,City,Province,Full Roof,PercentageAttendance,GDP_Real_lagQ,CPI_QoQ_Growth_%_lagQ,Employment_Rate_%_lagQ,Home Team Goals Scored,Away Team Goals Scored,Match Type,Home Team Outcome,Away Team Outcome,Day,Goals Scored in Last 5 Games,Goals Conceded in Last 5 Games,Number of Wins in Last 5 Games
Jupiler Pro League,13,20.0,RSC Anderlecht,11,KAA Gent,5,21500,Partly cloudy,5.8,2019-10-31,Thursday,10,2019,2019/2020,4,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.9555555555555556,103388.7,-0.113250283125716,65.8,3,3,Normal Time,Draw,Draw,31,6.0,3.0,2.0
Jupiler Pro League,14,20.0,Sint-Truiden,10,KV Oostende,14,5000,Partly cloudy,12.6,2019-11-02,Saturday,11,2019,2019/2020,4,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.3424657534246575,103388.7,-0.113250283125716,65.8,1,0,Normal Time,Win,Loss,2,6.0,5.0,1.0
Jupiler Pro League,14,20.0,Club Brugge,1,KV Kortrijk,11,21539,Drizzle,11.5,2019-11-02,Saturday,11,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.7411396325098066,103388.7,-0.113250283125716,65.8,3,0,Normal Time,Win,Loss,2,8.0,3.0,2.0
Jupiler Pro League,14,18.0,KAA Gent,5,Standard Liège,2,19441,Drizzle,10.8,2019-11-03,Sunday,11,2019,2019/2020,4,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.97205,103388.7,-0.113250283125716,65.8,3,1,Normal Time,Win,Loss,3,12.0,2.0,5.0
Jupiler Pro League,14,14.0,RSC Anderlecht,12,Cercle Brugge,16,19000,Drizzle,11.7,2019-11-03,Sunday,11,2019,2019/2020,4,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8444444444444444,103388.7,-0.113250283125716,65.8,2,1,Normal Time,Win,Loss,3,9.0,6.0,2.0
Jupiler Pro League,14,20.0,KV Mechelen,4,R Charleroi SC,6,14604,Drizzle,10.8,2019-11-03,Sunday,11,2019,2019/2020,4,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.885090909090909,103388.7,-0.113250283125716,65.8,2,2,Normal Time,Draw,Draw,3,9.0,11.0,2.0
Jupiler Pro League,15,20.0,Zulte Waregem,7,RSC Anderlecht,11,10068,Partly cloudy,6.0,2019-11-08,Friday,11,2019,2019/2020,4,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.8119354838709677,103388.7,-0.113250283125716,65.8,1,2,Normal Time,Loss,Win,8,12.0,4.0,3.0
Jupiler Pro League,15,20.0,Cercle Brugge,16,Sint-Truiden,10,3500,Clear or mostly clear,4.5,2019-11-09,Saturday,11,2019,2019/2020,4,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.12043217947835662,103388.7,-0.113250283125716,65.8,2,1,Normal Time,Win,Loss,9,4.0,9.0,1.0
Jupiler Pro League,15,18.0,R Charleroi SC,6,KAS Eupen,12,8021,Clear or mostly clear,5.4,2019-11-09,Saturday,11,2019,2019/2020,4,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.5347333333333333,103388.7,-0.113250283125716,65.8,1,0,Normal Time,Win,Loss,9,6.0,7.0,3.0
Jupiler Pro League,15,18.0,Genk,8,KAA Gent,3,19962,Clear or mostly clear,4.3,2019-11-10,Sunday,11,2019,2019/2020,4,Cegeka Arena,23500.0,Genk,LIM,1.0,0.8494468085106383,103388.7,-0.113250283125716,65.8,0,2,Normal Time,Loss,Win,10,9.0,4.0,4.0
